metro,price,minutes,way,provider,fee_percent,rooms,total_area,sector
Nagornaia,35000,9,1,0,100,1,67,Nagorni
Volzhskaia,42000,19,1,0,50,1,35,Kuzminki
Ulitca 1905 goda,50000,19,1,0,50,1,33,Presnenski
Tekstilshchiki,50000,14,1,0,50,1,33,Tekstilshchiki
Planernaia,55000,17,1,0,50,2,56,Severnoe Tushino
Preobrazhenskaia ploshchad,65000,15,1,0,80,2,49,Preobrazhenskoe
Bratislavskaia,55000,3,1,0,50,1,40,Maruino
Preobrazhenskaia ploshchad,50000,17,1,0,50,1,67,Preobrazhenskoe
Filatov Lug,55000,6,1,0,0,1,40,Sosenskoe
Paveletckaia,431500,7,1,1,0,3,67,Zamoskvoreche
Botanicheskii sad,40000,13,1,0,50,1,21,Sviblovo
Kievskaia,115000,13,1,0,0,3,79,Dorogomilovo
Kommunarka,55000,17,0,0,50,2,63,Sosenskoe
Skhodnenskaia,37000,3,0,0,78,1,5,Uznoe Tushino
Rizhskaia,72000,4,1,0,100,2,2,Meshanski
Sviblovo,60000,7,1,0,0,3,67,Sviblovo
Novogireevo,45000,4,1,0,50,2,67,Novogireevo
Begovaia,46000,18,1,0,50,1,67,Presnenski
Varshavskaia,57500,12,1,1,0,2,67,Moskvoreche-Saburovo
Krylatskoe,60000,20,1,0,50,1,39,Krylatskoe
Belorusskaia,55000,7,1,0,40,2,67,Tverskoi
Krestianskaia zastava,50000,12,1,0,50,2,45,Taganski
Liublino,110000,12,1,0,100,4,120,Lublino
Novye Cheremushki,70000,9,1,0,0,2,67,Cheremyshki
Govorovo,65000,11,1,0,50,1,50,Solncevo
Mezhdunarodnaia,300000,3,1,0,0,2,67,Presnenski
Sukharevskaia,85000,9,1,0,0,3,68,Krasnoselski
Buninskaia Alleia,45000,17,0,0,70,2,56,Uznoe Butovo
Sviblovo,36850,12,1,1,0,1,67,Sviblovo
Cherkizovskaia,55000,10,1,0,50,2,50,Preobrazhenskoe
Belorusskaia,90000,5,1,0,50,3,73,Tverskoi
Annino,65000,12,1,0,50,1,67,Certanovo Uznoe
Baumanskaia,117000,15,1,1,0,3,67,Basmanski
Varshavskaia,50000,12,1,0,50,1,40,Moskvoreche-Saburovo
Fili,100000,11,1,0,50,2,53,Filevskii Park
Buninskaia Alleia,28000,15,0,0,50,1,28,Uznoe Butovo
Shosse Entuziastov,70000,11,1,0,50,2,67,Perovo
Alekseevskaia,45000,13,1,0,50,2,42,Alekseevski
Shosse Entuziastov,50000,18,1,0,0,1,67,Perovo
Nekrasovka,50000,5,1,0,50,2,64,Nekrasovka
Nekrasovka,40000,16,1,0,50,1,46,Nekrasovka
Shelepikha,295000,5,1,0,0,3,67,Presnenski
Krestianskaia zastava,65000,2,1,0,0,1,67,Taganski
Baumanskaia,57000,12,1,0,50,1,35,Basmanski
Marina Roshcha,70000,8,1,0,50,3,56,Maruina Rocha
Bulvar Rokossovskogo,50000,8,0,0,0,1,67,Bogorodskoe
Vodnyi stadion,45000,5,1,0,0,1,67,Golovinski
Molodezhnaia,40000,5,0,0,0,1,36,Kuncevo
Prospekt Mira,60000,6,1,0,18,1,35,Meshanski
Tcaritcyno,50000,10,1,0,50,2,45,Tcaritcyno
Tcaritcyno,55000,15,0,0,0,2,72,Tcaritcyno
Govorovo,45000,5,1,0,50,1,67,Solncevo
Rasskazovka,43000,14,0,1,50,2,62,Vnukovskoe
Seligerskaia,60000,13,1,1,0,1,67,Beskudnikovski
Kolomenskaia,57000,14,0,0,40,2,55,Nagatino-Sadovniki
Pervomaiskaia,50000,3,1,0,60,2,67,Izmailovo
Nekrasovka,37000,15,1,1,80,2,67,Nekrasovka
Kantemirovskaia,200000,9,1,0,0,4,140,Tcaritcyno
Iasenevo,41000,19,1,0,0,2,67,Yasenevo
Seligerskaia,50000,13,1,0,30,2,67,Beskudnikovski
Buninskaia Alleia,30000,10,0,0,60,1,36,Uznoe Butovo
Sokolniki,90000,19,1,0,0,3,85,Sokolniki
Tcaritcyno,35000,9,1,0,85,1,67,Tcaritcyno
Buninskaia Alleia,37000,8,1,1,50,2,53,Uznoe Butovo
Medvedkovo,40000,12,1,0,50,1,40,Severnoe Medvedkovo
Nekrasovka,38000,10,1,0,50,1,38,Nekrasovka
Perovo,60000,12,1,1,0,3,67,Novogireevo
Novogireevo,60000,11,0,0,0,3,7,Novogireevo
VDNKh,42000,17,1,0,50,1,36,Ostankinski
Ulitca Dmitrievskogo,50000,3,1,0,50,2,61,Kosino-Uhtomski
Altufevo,50000,13,1,0,80,1,37,Bibirevo
Shchukinskaia,49000,15,1,0,50,1,37,Shukino
Olkhovaia,95000,19,1,0,40,2,67,Sosenskoe
Ulitca Skobelevskaia,33000,4,1,0,50,1,38,Uznoe Butovo
Krestianskaia zastava,90000,10,1,0,50,3,60,Taganski
VDNKh,72000,14,1,0,0,2,67,Ostankinski
Voikovskaia,42000,12,1,0,50,1,36,Voikovski
Kitai-gorod,260000,16,1,0,50,3,67,Tverskoi
Belorusskaia,62000,12,1,0,70,1,37,Tverskoi
Kommunarka,65000,16,1,0,50,2,65,Sosenskoe
Liublino,60000,7,1,0,50,2,52,Lublino
Sokolniki,250000,11,1,0,0,3,67,Sokolniki
Kantemirovskaia,35000,8,1,0,0,1,8,Tcaritcyno
Novogireevo,38000,16,0,0,50,2,50,Novogireevo
Oktiabrskoe pole,85000,14,1,0,30,3,11,Shukino
Sokolniki,65000,4,1,0,0,1,67,Sokolniki
Timiriazevskaia,45000,9,1,0,50,1,32,Timiryazevski
Paveletckaia,58000,7,1,0,0,2,45,Zamoskvoreche
Alma-Atinskaia,27000,24,0,0,0,1,35,Brateevo
Lukhmanovskaia,34000,9,1,0,0,1,67,Kosino-Uhtomski
Perovo,55000,10,1,0,50,2,39,Novogireevo
Rasskazovka,40000,14,0,0,50,1,45,Vnukovskoe
Okskaia,40000,5,1,0,50,1,33,Ryazanski
Varshavskaia,55000,10,1,0,0,2,57,Moskvoreche-Saburovo
Shipilovskaia,44000,13,1,0,0,1,67,Zyablikovo
Iugo-Zapadnaia,45000,12,1,0,50,1,37,Troparevo-Nikulino
Seligerskaia,40000,23,0,0,50,1,46,Beskudnikovski
Bagrationovskaia,100000,13,1,0,40,1,40,Filevskii Park
Mitino,48000,6,1,0,50,1,67,Mitino
Marina Roshcha,108500,17,1,1,0,1,67,Maruina Rocha
Aviamotornaia,40000,18,1,0,60,1,67,Lefortovo
Proletarskaia,65000,11,0,0,50,1,67,Taganski
Lefortovo,53000,6,1,0,0,1,67,Lefortovo
Filatov Lug,68000,5,1,0,0,3,77,Sosenskoe
Filatov Lug,42000,6,1,0,0,1,67,Sosenskoe
Ziablikovo,42000,12,1,0,50,1,40,Zyablikovo
Salarevo,40000,10,0,0,0,1,67,Solncevo
Narodnoe Opolchenie,67000,17,1,0,50,1,41,Horoshevo-Mnevniki
Nekrasovka,46000,11,1,0,50,2,50,Nekrasovka
Lomonosovskii prospekt,65000,14,1,0,50,1,36,Ramenki
Aeroport,97000,14,1,0,50,1,67,Aeroport
Olkhovaia,45000,16,1,0,50,2,45,Sosenskoe
Okruzhnaia,50000,11,1,0,50,1,39,Timiryazevski
Kozhukhovskaia,48000,9,1,0,50,2,42,Uznoportovi
Medvedkovo,70000,13,1,0,70,3,67,Severnoe Medvedkovo
Sviblovo,60000,15,1,0,50,2,54,Sviblovo
