metro,price,minutes,way,provider,fee_percent,rooms,total_area,sector
Shabolovskaia,270000,9,1,1,0,3,135,Donskoi
Chekhovskaia,600000,4,1,1,0,5,180,Tverskoi
Chistye prudy,350000,10,1,1,0,5,150,Basmanski
Borovitckaia,150000,11,1,1,0,3,130,Arbat
Sokol,160000,8,1,1,0,3,127,Sokol
Tretiakovskaia,185000,5,1,1,0,4,90,Zamoskvoreche
Borovitckaia,350000,5,1,1,0,4,158,Arbat
Barrikadnaia,250000,9,1,1,0,4,120,Presnenski
Krasnopresnenskaia,200000,14,1,1,0,5,150,Presnenski
Novokuznetckaia,95000,5,1,1,0,2,55,Zamoskvoreche
Tretiakovskaia,270000,5,1,1,0,4,107,Zamoskvoreche
Biblioteka im. Lenina,280000,5,1,1,0,4,160,Arbat
Arbatskaia,310000,14,1,1,0,3,180,Arbat
Kurskaia,500000,12,1,1,0,3,150,Basmanski
Park kultury,450000,6,1,1,0,3,200,Hamovniki
Barrikadnaia,100000,3,1,1,0,2,65,Presnenski
Mezhdunarodnaia,400000,7,1,1,0,2,105,Presnenski
Smolenskaia,300000,3,1,1,0,4,140,Arbat
Tretiakovskaia,170000,5,1,1,0,3,86,Zamoskvoreche
Chistye prudy,100000,9,1,1,0,3,90,Basmanski
Arbatskaia,190000,6,1,1,0,3,117,Arbat
Pushkinskaia,1000000,6,1,1,0,3,130,Tverskoi
Lomonosovskii prospekt,175000,17,1,1,0,3,120,Ramenki
Smolenskaia,297000,3,1,1,0,4,136,Arbat
Smolenskaia,200000,9,1,1,0,4,152,Arbat
Novoslobodskaia,330000,8,1,1,0,3,130,Tverskoi
Turgenevskaia,230000,4,1,1,0,2,134,Krasnoselski
Vodnyi stadion,1000000,15,1,1,0,6,330,Golovinski
Krasnopresnenskaia,85000,10,1,1,0,2,74,Presnenski
Pushkinskaia,700000,11,1,1,0,5,342,Tverskoi
Novoslobodskaia,300000,10,1,1,0,5,200,Tverskoi
Belorusskaia,350000,7,1,1,0,3,111,Tverskoi
Park kultury,500000,7,1,1,0,3,140,Hamovniki
Lubianka,570000,3,1,1,0,3,122,Tverskoi
Prospekt Mira,65000,9,1,1,0,3,72,Meshanski
Lubianka,400000,3,1,1,0,2,90,Tverskoi
Maiakovskaia,390000,7,1,1,0,4,186,Tverskoi
Frunzenskaia,300000,7,1,1,0,3,67,Hamovniki
Delovoi tcentr,100000,8,1,1,0,2,55,Presnenski
Maiakovskaia,150000,10,1,1,0,3,55,Tverskoi
Shabolovskaia,260000,9,1,1,0,3,160,Donskoi
Serpukhovskaia,100000,10,1,1,0,2,75,Zamoskvoreche
Sretenskii bulvar,300000,5,1,1,0,3,160,Krasnoselski
Sokol,450000,13,1,1,0,4,180,Sokol
Kropotkinskaia,285000,9,1,1,0,3,115,Hamovniki
Pushkinskaia,1046819,9,1,1,0,3,120,Tverskoi
Novoslobodskaia,200000,10,1,1,0,2,89,Tverskoi
Novokuznetckaia,180000,8,1,1,0,3,100,Zamoskvoreche
Smolenskaia,330000,4,1,1,0,2,120,Arbat
Smolenskaia,350000,11,1,1,0,5,150,Arbat
Chekhovskaia,300000,5,1,1,0,4,156,Tverskoi
Tretiakovskaia,340000,6,1,1,0,3,128,Zamoskvoreche
Kropotkinskaia,230000,5,1,1,0,3,88,Hamovniki
Turgenevskaia,450000,4,1,1,0,5,200,Krasnoselski
Arbatskaia,350000,8,1,1,0,4,180,Arbat
Shabolovskaia,175000,8,1,1,0,3,125,Donskoi
Trubnaia,300000,6,1,1,0,3,140,Meshanski
Kropotkinskaia,400000,13,1,1,0,4,195,Hamovniki
Tverskaia,250000,10,1,1,0,3,118,Tverskoi
Serpukhovskaia,170000,3,1,1,0,3,110,Zamoskvoreche
Krasnye vorota,180000,10,1,1,0,4,105,Krasnoselski
Tverskaia,430000,10,1,1,0,5,200,Tverskoi
Smolenskaia,780000,4,1,1,0,4,206,Arbat
Prospekt Mira,300000,6,1,1,0,6,190,Meshanski
Sokol,310000,13,1,1,0,3,144,Sokol
Park kultury,600000,7,1,1,0,5,220,Hamovniki
Maiakovskaia,150000,7,1,1,0,3,105,Tverskoi
Chekhovskaia,160000,3,1,1,0,2,80,Tverskoi
Belorusskaia,628091,7,1,1,0,4,161,Tverskoi
Borovitckaia,220000,11,1,1,0,3,60,Arbat
Paveletckaia,230000,7,1,1,0,4,138,Zamoskvoreche
Aeroport,250000,11,1,1,0,4,132,Aeroport
Belorusskaia,450000,7,1,1,0,4,149,Tverskoi
Polianka,290000,8,1,1,0,3,120,Yakimanka
Kropotkinskaia,300000,10,1,1,0,4,140,Hamovniki
Sokol,650000,13,1,1,0,4,180,Sokol
Smolenskaia,190000,9,1,1,0,2,95,Arbat
Aeroport,100000,3,1,1,0,3,80,Aeroport
Lomonosovskii prospekt,270000,17,1,1,0,4,220,Ramenki
Novoslobodskaia,300000,10,1,1,0,3,140,Tverskoi
Sokol,380000,13,1,1,0,3,150,Sokol
Krasnye vorota,220000,10,1,1,0,5,131,Krasnoselski
Kievskaia,275000,12,1,1,0,4,100,Dorogomilovo
Strogino,170000,10,1,1,0,3,138,Strogino
Kropotkinskaia,500000,10,1,1,0,6,264,Hamovniki
Lomonosovskii prospekt,200000,19,1,1,0,3,137,Ramenki
Sokol,100000,8,1,1,0,2,85,Sokol
Chekhovskaia,490000,4,1,1,0,4,185,Tverskoi
TcSKA,194000,5,1,1,0,4,150,Horoshevski
Kitai-gorod,220000,5,1,1,0,3,115,Tverskoi
Krasnopresnenskaia,300000,12,1,1,0,3,115,Presnenski
Shabolovskaia,160000,9,1,1,0,3,86,Donskoi
Tretiakovskaia,350000,4,1,1,0,3,140,Zamoskvoreche
Belorusskaia,350000,7,1,1,0,6,248,Tverskoi
Novokuznetckaia,280000,3,1,1,0,3,155,Zamoskvoreche
Pushkinskaia,230000,10,1,1,0,3,90,Tverskoi
Oktiabrskaia,180000,7,1,1,0,3,110,Yakimanka
Park kultury,5234095,10,1,1,0,6,293,Hamovniki
Park kultury,400000,6,1,1,0,4,185,Hamovniki
Barrikadnaia,200000,9,1,1,0,3,150,Presnenski
Narodnoe Opolchenie,150000,15,0,1,0,4,180,Horoshevo-Mnevniki
Pushkinskaia,180000,8,1,1,0,3,70,Tverskoi
Frunzenskaia,300000,6,1,1,0,3,165,Hamovniki
Trubnaia,350000,4,1,1,0,4,124,Meshanski
Novokuznetckaia,300000,3,1,1,0,3,150,Zamoskvoreche
Sokol,350000,13,1,1,0,4,180,Sokol
Michurinskii prospekt,250000,10,1,1,0,5,170,Ramenki
Chistye prudy,360000,6,1,1,0,6,206,Basmanski
Minskaia,800000,16,1,1,0,5,280,Dorogomilovo
Arbatskaia,600000,12,1,1,0,4,176,Arbat
Tcvetnoi bulvar,350000,4,1,1,0,5,172,Tverskoi
Pushkinskaia,700000,11,1,1,0,3,310,Tverskoi
Pushkinskaia,400000,9,1,1,0,4,130,Tverskoi
Kropotkinskaia,270000,7,1,1,0,5,170,Hamovniki
Chistye prudy,250000,10,1,1,0,4,123,Basmanski
Maiakovskaia,350000,3,1,1,0,3,150,Tverskoi
Tretiakovskaia,160000,5,1,1,0,3,90,Zamoskvoreche
Tverskaia,550000,10,1,1,0,4,143,Tverskoi
Kievskaia,1000000,6,1,1,0,4,231,Dorogomilovo
Polianka,180000,7,1,1,0,3,100,Yakimanka
Pushkinskaia,280000,12,1,1,0,4,110,Tverskoi
Barrikadnaia,210000,14,1,1,0,3,130,Presnenski
Pushkinskaia,198000,9,1,1,0,3,100,Tverskoi
Shabolovskaia,200000,9,1,1,0,4,154,Donskoi
Maiakovskaia,115000,12,1,1,0,3,92,Tverskoi
Arbatskaia,190000,10,1,1,0,2,120,Arbat
Arbatskaia,150000,6,1,1,0,3,130,Arbat
Krasnopresnenskaia,230000,12,1,1,0,4,125,Presnenski
Turgenevskaia,220000,6,1,1,0,3,90,Krasnoselski
Kropotkinskaia,310000,9,1,1,0,3,150,Hamovniki
Smolenskaia,100000,9,1,1,50,3,90,Arbat
Kropotkinskaia,90000,8,1,1,0,2,47,Hamovniki
Shabolovskaia,159000,13,1,0,0,2,81,Donskoi
Ulitca Starokachalovskaia,40000,11,1,0,60,1,44,Severnoe Butovo
Bratislavskaia,60000,21,1,0,50,2,45,Maruino
Kaluzhskaia,68000,18,1,0,50,1,35,Obruchevski
Salarevo,60000,11,1,0,50,2,57,Solncevo
Bulvar Rokossovskogo,70000,3,0,1,50,2,61,Bogorodskoe
Avtozavodskaia,85000,5,1,1,50,2,55,Danilovski
Frunzenskaia,100000,11,1,1,0,2,64,Hamovniki
Salarevo,58000,20,1,0,50,2,60,Solncevo
Shosse Entuziastov,60000,8,1,1,50,1,39,Perovo
Fili,70000,18,1,1,50,1,45,Filevskii Park
Fili,110000,16,1,1,0,3,65,Filevskii Park
Minskaia,350000,15,0,1,0,4,6,Dorogomilovo
Shelepikha,155000,18,1,1,0,3,100,Presnenski
Vodnyi stadion,50000,13,1,1,50,1,67,Golovinski
Dinamo,110000,10,1,1,50,2,6,Aeroport
Annino,52000,12,1,1,50,1,67,Certanovo Uznoe
Iasenevo,38000,8,1,1,50,1,30,Yasenevo
Prazhskaia,70000,16,1,1,50,2,55,Certanovo Centralnoe
Piatnitckoe shosse,39000,11,0,1,50,1,40,Mitino
Govorovo,60000,15,1,1,50,2,75,Solncevo
Govorovo,60000,15,1,1,50,2,75,Solncevo
Govorovo,60000,15,1,1,50,2,75,Solncevo
Govorovo,60000,15,1,1,50,2,75,Solncevo
Dmitrovskaia,60000,15,1,1,50,1,67,Butirski
Olkhovaia,35000,19,0,1,50,1,39,Sosenskoe
Bulvar Rokossovskogo,70000,7,1,1,50,2,54,Bogorodskoe
Solntcevo,67000,10,1,1,50,2,67,Solncevo
Shelepikha,65000,5,1,1,50,1,67,Presnenski
Tcaritcyno,43000,20,0,1,50,1,67,Tcaritcyno
Fili,100000,16,1,1,50,1,50,Filevskii Park
Govorovo,55000,15,1,1,50,1,67,Solncevo
Kolomenskaia,70000,18,0,1,50,2,40,Nagatino-Sadovniki
Ploshchad Ilicha,100000,6,1,1,50,1,4,Taganski
Medvedkovo,38000,12,1,1,50,1,35,Severnoe Medvedkovo
Kuzminki,45000,8,1,1,50,1,42,Kuzminki
Dinamo,290000,8,1,1,50,4,93,Aeroport
Rasskazovka,38000,12,0,1,50,1,43,Vnukovskoe
Smolenskaia,400000,12,1,1,0,3,134,Arbat
Tekstilshchiki,35000,15,1,1,0,1,67,Tekstilshchiki
Bulvar Rokossovskogo,65000,7,1,1,50,2,9,Bogorodskoe
Olkhovaia,40000,19,0,1,50,2,45,Sosenskoe
Shelepikha,150000,5,1,1,50,2,60,Presnenski
Stakhanovskaia,85000,12,0,1,50,4,105,Ryazanski
Baumanskaia,170000,11,1,1,30,4,160,Basmanski
Kuzminki,57000,18,1,1,50,2,8,Kuzminki
Olkhovaia,30000,18,0,1,50,1,5,Sosenskoe
Govorovo,100000,6,1,1,50,4,113,Solncevo
Ploshchad Ilicha,110000,6,1,1,50,2,78,Taganski
Tekstilshchiki,35000,15,1,1,0,1,67,Tekstilshchiki
Polezhaevskaia,170000,11,1,1,50,2,70,Horoshevski
Tulskaia,100000,4,1,1,40,1,2,Danilovski
TcSKA,100000,11,1,1,50,2,47,Horoshevski
Fili,90000,16,1,1,50,3,67,Filevskii Park
Fili,110000,16,1,1,50,2,58,Filevskii Park
Fili,110000,18,1,1,50,3,62,Filevskii Park
TcSKA,65000,12,1,1,50,1,67,Horoshevski
Barrikadnaia,150000,10,1,1,0,2,105,Presnenski
Kuzminki,33000,14,1,1,50,1,67,Kuzminki
Fili,82000,21,1,0,70,1,67,Filevskii Park
Vodnyi stadion,55000,19,1,0,50,1,40,Golovinski
Rasskazovka,65000,9,0,0,50,3,79,Vnukovskoe
Govorovo,45000,15,1,0,50,2,67,Solncevo
Mezhdunarodnaia,250000,3,1,0,0,2,67,Presnenski
Piatnitckoe shosse,40000,42,0,1,60,1,41,Mitino
Mitino,40000,45,0,1,60,2,58,Mitino
Sviblovo,32000,10,0,0,30,1,37,Sviblovo
Kommunarka,71000,18,1,1,0,3,67,Sosenskoe
Kommunarka,43000,16,1,0,50,1,38,Sosenskoe
Fili,108500,8,1,1,0,3,67,Filevskii Park
Olkhovaia,45000,32,0,0,50,2,80,Sosenskoe
Nakhimovskii prospekt,50000,3,1,0,50,1,67,Zuzino
Varshavskaia,55000,4,1,0,0,2,54,Moskvoreche-Saburovo
Aviamotornaia,90000,5,1,0,50,2,56,Lefortovo
Okruzhnaia,55000,11,1,0,0,1,67,Timiryazevski
Otradnoe,60000,10,1,0,50,2,53,Otradnoe
Okruzhnaia,65000,11,1,1,0,1,67,Timiryazevski
Mendeleevskaia,55000,12,1,0,50,1,36,Tverskoi
Piatnitckoe shosse,54500,10,1,1,0,2,67,Mitino
Buninskaia Alleia,53000,9,1,0,50,2,55,Uznoe Butovo
Otradnoe,57000,13,1,0,50,2,60,Otradnoe
Maiakovskaia,87000,10,1,0,30,2,67,Tverskoi
Preobrazhenskaia ploshchad,55000,9,1,0,50,1,36,Preobrazhenskoe
Kommunarka,36000,14,0,0,50,1,67,Sosenskoe
Kuntcevskaia,43000,10,1,0,0,1,49,Kuncevo
Kommunarka,58000,25,0,0,0,2,55,Sosenskoe
Solntcevo,50000,13,1,0,50,1,38,Solncevo
Dinamo,49000,18,1,1,0,2,67,Aeroport
Planernaia,45000,6,1,0,50,1,36,Severnoe Tushino
Dinamo,54500,16,1,1,0,1,67,Aeroport
Delovoi tcentr,250000,8,1,0,0,2,67,Presnenski
Narodnoe Opolchenie,110000,12,0,1,0,3,67,Horoshevo-Mnevniki
Mitino,42000,11,1,0,50,1,38,Mitino
Alekseevskaia,70000,7,1,0,50,1,35,Alekseevski
Mezhdunarodnaia,450000,6,1,0,0,3,67,Presnenski
Shelepikha,110000,5,1,0,50,2,45,Presnenski
Pervomaiskaia,55000,6,1,0,50,2,48,Izmailovo
Nagornaia,60000,18,1,1,0,3,67,Nagorni
Kommunarka,56000,16,1,0,50,2,64,Sosenskoe
Salarevo,33000,19,1,0,40,1,67,Solncevo
Bratislavskaia,60000,21,1,0,30,2,60,Maruino
Fili,115000,18,0,0,50,2,64,Filevskii Park
Nagornaia,50000,14,1,0,50,2,45,Nagorni
Babushkinskaia,45000,14,1,0,40,2,50,Babuskinski
Proletarskaia,65000,13,0,0,50,1,30,Taganski
Tulskaia,70000,13,1,0,50,2,65,Danilovski
VDNKh,55000,16,1,0,50,2,65,Ostankinski
Beliaevo,52500,11,1,0,50,2,45,Konkovo
Govorovo,57000,6,1,0,50,2,47,Solncevo
Seligerskaia,50000,13,1,0,50,1,4,Beskudnikovski
Strogino,65000,15,1,0,50,3,58,Strogino
Nekrasovka,65000,12,1,0,0,2,50,Nekrasovka
Medvedkovo,58000,19,1,0,50,2,63,Severnoe Medvedkovo
Bulvar Rokossovskogo,45000,13,0,0,60,2,67,Bogorodskoe
Lukhmanovskaia,35000,12,0,0,50,1,42,Kosino-Uhtomski
Paveletckaia,99000,15,1,0,0,1,67,Zamoskvoreche
Planernaia,50000,9,0,1,0,2,67,Severnoe Tushino
Altufevo,38000,15,1,0,0,1,33,Bibirevo
Seligerskaia,65000,11,0,0,50,2,66,Beskudnikovski
Salarevo,38000,16,0,1,100,1,67,Solncevo
Altufevo,35000,5,1,0,50,1,38,Bibirevo
Aviamotornaia,70000,5,1,0,0,2,5,Lefortovo
Okruzhnaia,50000,9,1,0,50,1,35,Timiryazevski
Marina Roshcha,50000,10,1,0,50,1,36,Maruina Rocha
Polianka,95000,4,1,0,50,2,47,Yakimanka
Novogireevo,37000,12,0,1,20,2,5,Novogireevo
Seligerskaia,55000,10,0,0,50,1,40,Beskudnikovski
Prospekt Vernadskogo,60000,17,1,0,50,2,46,Prospect Vernadskogo
Kuntcevskaia,57000,15,1,0,40,2,54,Kuncevo
Troparevo,90000,6,1,0,30,3,80,Troparevo-Nikulino
Babushkinskaia,50000,17,1,0,50,3,70,Babuskinski
Baumanskaia,65000,7,1,0,0,1,67,Basmanski
Bibirevo,50000,14,1,0,50,2,45,Bibirevo
Bibirevo,42000,12,1,0,60,1,67,Bibirevo
Preobrazhenskaia ploshchad,60000,12,0,0,50,2,55,Preobrazhenskoe
Vladykino,37000,5,1,0,0,1,32,Otradnoe
Bratislavskaia,47000,21,1,1,0,1,67,Maruino
Mitino,67000,14,1,0,50,2,67,Mitino
Kolomenskaia,50000,8,1,0,0,2,44,Nagatino-Sadovniki
Novoslobodskaia,330000,8,1,0,50,3,67,Tverskoi
Babushkinskaia,45000,4,1,0,50,1,67,Babuskinski
Buninskaia Alleia,30000,14,1,0,60,1,40,Uznoe Butovo
Profsoiuznaia,62000,2,1,1,20,2,43,Academicheskiy
Botanicheskii sad,70000,16,1,0,50,1,42,Sviblovo
TcSKA,115000,13,1,1,0,1,42,Horoshevski
Sokolniki,45000,18,1,0,50,2,45,Sokolniki
Tretiakovskaia,450000,5,1,1,0,3,158,Zamoskvoreche
Turgenevskaia,520201,8,1,1,0,4,124,Krasnoselski
Novoslobodskaia,170000,10,1,1,0,2,67,Tverskoi
Kievskaia,115000,11,1,1,0,3,60,Dorogomilovo
Maiakovskaia,320000,7,1,1,0,4,186,Tverskoi
Borovitckaia,250000,11,1,1,0,3,126,Arbat
Kurskaia,360000,6,1,1,0,6,374,Basmanski
Tretiakovskaia,250000,5,1,1,0,4,148,Zamoskvoreche
Petrovskii park,72000,11,1,1,0,3,57,Aeroport
Paveletckaia,450000,11,1,1,0,4,134,Zamoskvoreche
Belorusskaia,199000,12,1,1,0,3,96,Tverskoi
Profsoiuznaia,490000,14,1,1,0,5,410,Academicheskiy
Shchukinskaia,190000,13,1,1,0,4,165,Shukino
Tverskaia,250000,2,1,1,0,3,104,Tverskoi
Krasnopresnenskaia,1000000,6,1,1,0,4,220,Presnenski
Trubnaia,950000,6,1,1,0,4,184,Meshanski
Ramenki,190000,15,1,1,0,4,115,Ramenki
Prospekt Mira,200000,6,1,1,0,3,133,Meshanski
Smolenskaia,700000,7,1,1,0,4,190,Arbat
Marina Roshcha,70000,11,1,1,60,2,52,Maruina Rocha
Baumanskaia,115000,6,1,1,0,2,54,Basmanski
Tverskaia,165000,7,1,1,0,2,55,Tverskoi
Shchukinskaia,300000,15,1,1,0,4,190,Shukino
Park kultury,399000,6,1,1,0,3,111,Hamovniki
Turgenevskaia,380000,6,1,1,0,4,211,Krasnoselski
Novoslobodskaia,700000,8,1,1,0,5,235,Tverskoi
Smolenskaia,1046819,13,1,1,0,3,180,Arbat
Borovitckaia,350000,11,1,1,0,4,250,Arbat
Serpukhovskaia,160000,10,1,1,0,2,74,Zamoskvoreche
Marksistskaia,340000,9,1,1,0,5,250,Taganski
Park kultury,600000,8,1,1,0,6,200,Hamovniki
Akademicheskaia,115000,5,1,1,0,4,100,Academicheskiy
Universitet,250000,6,1,1,0,4,140,Ramenki
Aeroport,170000,8,1,1,0,3,120,Aeroport
Novokuznetckaia,450000,3,1,1,0,4,180,Zamoskvoreche
Polianka,350000,4,1,1,0,5,200,Yakimanka
Maiakovskaia,370000,3,1,1,0,3,142,Tverskoi
Turgenevskaia,400000,5,1,1,0,5,190,Krasnoselski
Maiakovskaia,100000,8,1,1,0,1,47,Tverskoi
Belorusskaia,450000,7,1,1,0,4,132,Tverskoi
Akademicheskaia,230000,11,1,1,0,3,110,Academicheskiy
Maiakovskaia,700000,7,1,1,0,3,260,Tverskoi
Davydkovo,230000,16,1,1,0,4,121,Mojaiski
Baumanskaia,650000,11,1,1,0,6,359,Basmanski
Park kultury,2500000,8,1,1,0,4,318,Hamovniki
Delovoi tcentr,150000,7,1,1,0,3,72,Presnenski
Sportivnaia,150000,4,1,1,0,2,85,Hamovniki
Minskaia,430000,14,1,1,0,3,125,Dorogomilovo
Barrikadnaia,300000,12,1,1,0,4,163,Presnenski
Tretiakovskaia,290000,1,1,1,0,3,130,Zamoskvoreche
Park kultury,1500000,9,1,1,0,5,274,Hamovniki
Kievskaia,220000,8,1,1,0,4,140,Dorogomilovo
Krylatskoe,400000,11,1,1,0,4,176,Krylatskoe
Maiakovskaia,165000,7,1,1,0,3,88,Tverskoi
Pushkinskaia,250000,9,1,1,0,4,164,Tverskoi
Shelepikha,200000,5,1,1,0,3,89,Presnenski
Tretiakovskaia,350000,4,1,1,0,4,135,Zamoskvoreche
Smolenskaia,210000,10,1,1,0,3,103,Arbat
Mendeleevskaia,150000,5,1,1,0,3,80,Tverskoi
Smolenskaia,500000,11,1,1,0,5,180,Arbat
Turgenevskaia,210000,8,1,1,0,1,67,Krasnoselski
Prospekt Mira,250000,8,1,1,0,3,127,Meshanski
Novokuznetckaia,150000,4,1,1,0,2,74,Zamoskvoreche
Tulskaia,110000,16,1,1,0,1,40,Danilovski
Prospekt Mira,250000,8,1,1,0,4,170,Meshanski
Sukharevskaia,150000,12,1,1,0,3,95,Krasnoselski
Belorusskaia,380000,6,1,1,0,4,104,Tverskoi
Prospekt Mira,160000,6,1,1,0,4,130,Meshanski
Arbatskaia,600000,6,1,1,0,4,176,Arbat
Serpukhovskaia,150000,10,1,1,0,2,71,Zamoskvoreche
Krylatskoe,370000,11,0,1,0,5,215,Krylatskoe
Barrikadnaia,430000,11,1,1,0,2,136,Presnenski
Pushkinskaia,500000,13,1,1,0,4,170,Tverskoi
Dinamo,160000,8,1,1,0,2,65,Aeroport
Kurskaia,300000,8,1,1,0,3,124,Basmanski
Tretiakovskaia,700000,5,1,1,0,6,255,Zamoskvoreche
Belorusskaia,150000,12,1,1,0,2,57,Tverskoi
Elektrozavodskaia,100000,12,1,1,0,2,54,Sokolinaya Gora
Prospekt Mira,523410,8,1,1,0,4,162,Meshanski
Arbatskaia,250000,6,1,1,0,4,130,Arbat
Pushkinskaia,2407684,8,1,1,0,5,308,Tverskoi
Tretiakovskaia,1500000,5,1,1,0,4,165,Zamoskvoreche
Krylatskoe,580000,30,0,1,0,6,707,Krylatskoe
Chistye prudy,350000,9,1,1,0,4,130,Basmanski
Tretiakovskaia,800000,6,1,1,0,2,110,Zamoskvoreche
Park kultury,1000000,6,1,1,0,5,190,Hamovniki
Chistye prudy,270000,11,1,1,0,4,140,Basmanski
Sokol,400000,13,1,1,0,4,219,Sokol
Tcvetnoi bulvar,1500000,6,1,1,0,6,414,Tverskoi
Slavianskii bulvar,200000,18,1,1,0,3,128,Fili-Davidkovo
Maiakovskaia,270000,12,1,1,0,4,150,Tverskoi
Tretiakovskaia,230000,2,1,1,0,3,140,Zamoskvoreche
Novoslobodskaia,395000,3,1,1,0,4,150,Tverskoi
Frunzenskaia,230000,9,1,1,0,2,70,Hamovniki
Minskaia,350000,15,0,1,0,4,203,Dorogomilovo
Smolenskaia,280000,9,1,1,0,3,85,Arbat
Dinamo,200000,10,1,1,0,3,88,Aeroport
Prospekt Vernadskogo,300000,11,1,1,0,5,210,Prospect Vernadskogo
Maiakovskaia,150000,8,1,1,0,3,83,Tverskoi
Park kultury,450000,7,1,1,0,4,170,Hamovniki
Tretiakovskaia,1500000,3,1,1,0,4,158,Zamoskvoreche
Belorusskaia,400000,7,1,1,0,3,67,Tverskoi
Shelepikha,230000,21,1,1,0,4,111,Presnenski
Novoslobodskaia,380000,4,1,1,0,5,150,Tverskoi
Arbatskaia,200000,10,1,1,0,2,64,Arbat
Vodnyi stadion,395000,15,1,1,0,5,202,Golovinski
Maiakovskaia,260000,6,1,1,0,3,120,Tverskoi
Kitai-gorod,160000,3,1,1,0,3,101,Tverskoi
Kropotkinskaia,90000,8,1,1,0,1,32,Hamovniki
Belorusskaia,400000,7,1,1,0,3,140,Tverskoi
Paveletckaia,350000,9,1,1,0,4,190,Zamoskvoreche
Universitet,155000,12,1,1,0,3,79,Ramenki
Krasnopresnenskaia,180000,10,1,1,0,3,110,Presnenski
Sukharevskaia,60000,10,1,1,50,1,40,Krasnoselski
Baumanskaia,100000,6,1,1,50,1,67,Basmanski
Shchukinskaia,250000,16,1,1,0,3,143,Shukino
Arbatskaia,390000,12,1,1,0,4,133,Arbat
Pushkinskaia,1500000,11,1,1,0,6,347,Tverskoi
Tcvetnoi bulvar,700000,3,1,1,0,5,200,Tverskoi
Oktiabrskoe pole,155000,8,1,1,0,3,150,Shukino
TcSKA,270000,17,1,1,0,5,131,Horoshevski
Paveletckaia,170000,7,1,1,0,1,45,Zamoskvoreche
Kurskaia,280000,11,1,1,0,4,150,Basmanski
Sportivnaia,350000,9,1,1,0,2,91,Hamovniki
Kurskaia,418728,12,1,1,0,3,170,Basmanski
TcSKA,180000,5,1,1,0,3,150,Horoshevski
Kitai-gorod,190000,15,1,1,0,2,66,Tverskoi
Dinamo,300000,9,1,1,0,2,89,Aeroport
Shelepikha,150000,5,1,1,0,2,60,Presnenski
Krasnopresnenskaia,210000,10,1,1,0,4,115,Presnenski
Oktiabrskaia,300000,9,1,1,0,5,170,Yakimanka
Novokuznetckaia,180000,11,1,1,0,1,54,Zamoskvoreche
Lomonosovskii prospekt,250000,14,1,1,0,3,67,Ramenki
Lubianka,900000,3,1,1,0,3,220,Tverskoi
Narodnoe Opolchenie,300000,16,1,1,0,3,110,Horoshevo-Mnevniki
Barrikadnaia,400000,11,1,1,0,3,144,Presnenski
Kurskaia,150000,9,1,1,0,3,57,Basmanski
Krestianskaia zastava,200000,13,1,1,0,4,127,Taganski
Barrikadnaia,210000,11,1,1,0,1,67,Presnenski
Minskaia,350000,15,0,1,0,4,146,Dorogomilovo
Barrikadnaia,350000,10,1,1,0,4,180,Presnenski
Botanicheskii sad,110000,9,1,1,0,2,71,Sviblovo
Pushkinskaia,220000,7,1,1,0,5,160,Tverskoi
Borovitckaia,250000,11,1,1,0,2,85,Arbat
Baumanskaia,240000,7,1,1,0,3,78,Basmanski
Sretenskii bulvar,200000,6,1,1,0,3,80,Krasnoselski
Shchukinskaia,430000,22,0,1,0,4,135,Shukino
Maiakovskaia,220000,8,1,1,0,4,120,Tverskoi
Chistye prudy,170000,9,1,1,0,3,100,Basmanski
Frunzenskaia,220000,10,1,1,0,4,100,Hamovniki
Smolenskaia,400000,12,1,1,0,3,134,Arbat
Kitai-gorod,250000,11,1,1,0,4,100,Tverskoi
Narodnoe Opolchenie,155000,15,1,1,0,3,95,Horoshevo-Mnevniki
Davydkovo,210000,16,1,1,0,3,120,Mojaiski
Maiakovskaia,300000,3,1,1,0,3,89,Tverskoi
Park kultury,250000,8,1,1,0,5,105,Hamovniki
Serpukhovskaia,150000,6,1,1,0,3,87,Zamoskvoreche
Kropotkinskaia,2500000,6,1,1,0,5,293,Hamovniki
Krasnopresnenskaia,280000,9,1,1,0,3,150,Presnenski
Sukharevskaia,185000,5,1,1,0,3,89,Krasnoselski
Novokuznetckaia,250000,10,1,1,0,4,143,Zamoskvoreche
Okhotnyi riad,200000,8,1,1,0,2,67,Tverskoi
Universitet,285000,6,1,1,0,3,138,Ramenki
Aviamotornaia,250000,13,1,1,0,4,131,Lefortovo
Arbatskaia,340000,11,1,1,0,4,156,Arbat
Universitet,240000,20,1,1,0,4,160,Ramenki
Pushkinskaia,250000,9,1,1,0,3,124,Tverskoi
Mendeleevskaia,395000,3,1,1,0,4,101,Tverskoi
Narodnoe Opolchenie,500000,21,0,1,0,6,67,Horoshevo-Mnevniki
Universitet,250000,6,1,1,0,4,135,Ramenki
Sokolniki,185000,14,1,1,0,3,106,Sokolniki
Novokuznetckaia,160000,11,1,1,0,2,72,Zamoskvoreche
Studencheskaia,170000,2,1,1,0,4,104,Dorogomilovo
Dinamo,260000,11,1,1,0,3,93,Aeroport
Novoslobodskaia,290000,10,1,1,0,4,190,Tverskoi
Krasnoselskaia,70000,5,1,1,0,1,35,Krasnoselski
Smolenskaia,180000,7,1,1,0,3,96,Arbat
